#NOMPARTIDA,CODFUNCION,CODECOPART,Fecha,NIFTERCERO,NOMTERCERO,Descripción,IMPTOTFACTS
Estudios y Trabajos Técnicos,920,22706,2013-10-08,B38669800,ESTUDIO JURIDICO PILAR 2 S.L.,"Examen de la situacion del Ser vicio de Vigilancia, Salvament o y Asistencia en el Litoral A rona,tras quedar desierto",4280
Fiestas del Municipio,338,22611,2013-10-08,B38418653,SANITARIOS PORTATILES S.L.,Alquiler Sanitarios Fiestas Pa tronales Arona Casco 2013.,449.4
Fiestas del Municipio,338,22611,2013-10-08,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia en Procesi on Fiestas del Cristo en Arona  Casco,70
Fiestas del Municipio,338,22611,2013-10-08,G38978474,ASOCIACION CULTURAL GRUPO TAIMER,Animación en la Plaza el 07/10 /2013. Fiestas del Cristo 2013 .,510
Ordinario no inventariable,912,22000,2013-10-08,B38454781,DRAYCA SUR SERVICIOS S.L.,"3000 Bolsas, 1000 Carpetas Car utilna, 2000 Boligrafos y 500  USB DE 4GB",7470
Recogida y acogida de animales.,313,22704,2013-10-08,B76586619,PROTEANIMALOY,Servicio Octubre 2013 Retirada  Perros Vía Pública.,374.5
Energía eléctrica,150,22100,2013-10-09,A81948077,ENDESA ENERGIA S.A.U.,Facturacion Septiembre 2013 Co d. Agrupacion 1014279.,16428.67
Energía eléctrica,340,22100,2013-10-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturacion Septiembre 2013. C od. Agrupacion 0311938.,1432.09
Energía eléctrica,920,22100,2013-10-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Agosto 2013. Cod. Agrupación 0369026,54.48
Energía eléctrica,920,22100,2013-10-09,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación del 01 al 09/10/13  Cristo de la Salud, Festejos.  Cod. Agrupación 0370082. Fac. nº V4307N00000206.30/9/13.",690.39
Energía eléctrica,920,22100,2013-10-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturacion Septiembre 2013. C od. Agrupacion 0311938.,1432.09
Fiestas del Municipio,338,22611,2013-10-09,B38529053,PIROTECNICA EL CARMEN S.L.,Fuegos Artificiales en Fiesta  Honor Cristo Salud 2013,2652.25
"Jurídicos, Contenciosos",920,22604,2013-10-09,B38568499,ANA MAR ASESORES S.L.,"1º Pago Parcial a Cta(30% Pers onación), Nº Recurso 252/13 ,C ont.Juz 4 s/c tfe (co 038/13)",2889
Primas de seguros,150,22401,2013-10-09,A28007748,ALLIANZ  COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,"Poliza Seguro Obligatorio Vehi culo 5557HP, Periodo: 01/11/20 13-01/11/2014.",946.88
Publicidad y Propaganda,920,22602,2013-10-09,B38492237,HIT RADIO CANARIAS S.L.,"Agenda Municipal Radiofónica 2 013. Publicidad Institucional,  de Enero a Junio.",3477.5
Repar. mant. y cons. Mobiliario,130,21500,2013-10-09,B38662748,COMERCIAL MIGUEL GOMEZ GONZALEZ S.L.,Persiana Veneciana Blanca y Gu antes Industrial Naranja,161
Fiestas del Municipio,338,22611,2013-10-10,B38390589,SOUND BLACK S.L.,Sistemas de Sonidos para las F iestas del Cristo Salud 2013 e n Arona,6392.61
Mantenimiento Aire Acondicionado,920,21304,2013-10-10,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.","Suministro Mantenimiento del s istema de Extraccion y Ventila cion del Recinto ""CPD"" en cent ro Cultural de Los Cristianos.",308.16
Ordinario no inventariable,920,22000,2013-10-10,B38081790,THE RED PEN S.L.,1200 Cartulinas A4-Blanca,42.8
Plan de Promoción Económica,433,22614,2013-10-10,B38390589,SOUND BLACK S.L.,Montaje Sonido Certamen de Coc telería. Promoción Economica.,397.18
Plan de Promoción Económica,433,22614,2013-10-10,B38390589,SOUND BLACK S.L.,"Suministro Sonido en los Crist ianos "" Vive el Final del Vera no""",1712
Productos alimenticios,920,22105,2013-10-10,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Agua BOT20l, Vasos, Cuota Serv icio. SAC Los Cristianos.",22.88
Productos alimenticios,920,22105,2013-10-10,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Servicio Agua BOT20L., Vasos y  Cuota Servico.(Policía Local  -Los Cristianos)",44.27
Promoción Sanidad y Consumo,313,22617,2013-10-10,B38390589,SOUND BLACK S.L.,Servicios de Sonido para Celeb ración Evento Día Internaciona l de las Personas Sordas,1412.4
Repar. conserv. y man. elementos de transporte,132,21400,2013-10-10,B38905774,FRANELIPAL S.L.,Reparación Vehículo 6967CXN.,727.6
Tributos de las Entidades Locales,161,22502,2013-10-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Septiembre 2013 Depur ación y Vertido.,146301.51
Tributos de las Entidades Locales,161,22502,2013-10-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Septiembre 2013 Desal ación.,257757.93
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-10-11,B38075115,VIAJES SOLYSUR S.L.,Billete Avión TFS-LPA-TFS (15- 16 OCT) XXX.  II Edición de Solidarios Once   Canarias.,133.72
Atenciones protocolarias y representativas,912,22601,2013-10-14,B38454781,DRAYCA SUR SERVICIOS S.L.,"Cuadro Pintadera Reconocimient o a Ricardo Melchior, Aytos Te nerife",50
Material Convenios Fomento Empleo,241,22612,2013-10-14,B76546225,"MAC IMPRESIONS, S.L.",Adquisición Chalecos con Serig rafia. Arona Limpia 2013.,566.5
Repar. mant. y conserv. elementos de transporte,920,21400,2013-10-14,B38788287,"TALLER JUAN GOMEZ, S.L.","Reparacion renault Clio E-3463 -DHH, Notificadores",51.25
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-10-14,H38351268,APTS. AMARILLA BAY FASE II C.P.,"Liquidacion 3 Trimestre Gastos  Comunitarios en Amarilla Bay II, LOCALES 01,02,06,07 Y 08",519.75
Fiestas del Municipio,338,22611,2013-10-15,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material de Ferrete ría para Decorado Infraestruct uras Fiestas en Honor Stmo. C  risto de la Salud.,368.8
Productos alimenticios,920,22105,2013-10-15,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio Agua. Centro  Civico Cabo Blanco.,9.63
Publicidad y Propaganda,920,22602,2013-10-15,A38011623,CANARIA DE AVISOS S.A.,"Anuncio en Diario de Avisos, e l 5/10/13, pag. 12, Ayuda Reha bilitacion de Viviendas",359.52
Repar. conserv. y man. elementos de transporte,132,21400,2013-10-15,B35599323,"INTERINSULAR DE LUBRICANTES, S.L.",GTX 10W/40- Lubricante policia  Local,1502.46
Servicios de Recaudación,931,22708,2013-10-15,S3826006C,DELEGACION PROVINCIAL HACIENDA,"Costes del serv. liq. septiemb re 2013, convenio de colaborac ión Ayto con la Agencia Tribut aria.",1139.85
Atenciones protocolarias y representativas,912,22601,2013-10-16,B38853990,SOUND CANARIAS S.L.U.,Montaje Servicios Rueda de Pre nsa Alcalde y concejal de Urba nismo en relación con la Anula ción del PGO. C.C. Los Cristia,155.15
Estudios y Trabajos Técnicos,920,22706,2013-10-16,B78016375,PRICE WATERHOUSE COOPERS ASESORES DE NEGOCIOS S.L.,"1º Anticipo Honorarios Profesi onales ""Diagnóstico de la situ ación actual, asi como elabora , exp.1/12-CSPSV",9095
Locomoción del personal no directivo,150,23120,2013-10-16,B38075115,VIAJES SOLYSUR S.L.,"Billete Avion TFN-AGP (22-27 O CT.) XXX "" No vedades Técnicas en Protección  Contra Incendios"".",141.38
Postales,920,22201,2013-10-16,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 16/10 /13, Multas 515",20.05
Publicidad y Propaganda,920,22602,2013-10-17,B38578043,GESTION DE MEDIOS AUDIOVISUALES DE CANARIAS S.L.U,"Difusión Coberturas Informativ as en los Meses de Agosto, Sep tiembre y Octubre  en Programa  Tenerife Sur Informativos.",7880.16
Publicidad y Propaganda,920,22602,2013-10-17,B38578043,GESTION DE MEDIOS AUDIOVISUALES DE CANARIAS S.L.U,"Difusión Coberturas Informativ as los Meses de Mayo, Junio y Julio en Programa Tenerife Sur  Informativos.",5252.73
Repar. mant. y cons. Equipos para procesos informa,920,21600,2013-10-17,B60768512,SCHNEIDER ELECTRIC IT SPAIN S.L.,"Contrato MGE Galaxy, en Pz Cri sto Salud, 3, Periodo:20/8/13- 19/08/13",5275.1
Cánones,173,20900,2013-10-18,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,Tasa Actividad Dominio P?blico  en Puerto de Los Cristianos. Fecha Inicio: 01/10/2013  Fech a Fin: 31/12/2013,14.5
Cánones,173,20900,2013-10-18,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,Tasa Ocupacion Superficie Domi nio Publico Ubicada en Puerto de los Cristianos.,72.51
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Agua BOT20L, Cuota Servicio.",24.63
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Agua BOT20L, Cuota Servicio. C .C. Cabo Blanco.",86.19
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Agua BOT20l, Vasos, Cuota Serv icio. Urbanismo/Plusvalia.",192.12
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Agua BOT20L, Vasos, Cuota Serv icio.Cementerio de Arona.",30.38
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Agua BOT20L. Vasos, Cuota Serv icio.",63.38
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servico Agua. Tesorer ía.,9.63
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio Agua. C.C. Cabo  Blanco.,9.63
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Servicio Agua BOT20L.Vasos 500 uds., Cuota de Servicio. Polic ia Local.",154.88
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Suministro Agua BOT20L, Vasos 500 ud., Cuota de Servicio. Ca llejero Municipal.",198.12
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Suministro Agua BOT20L., Cuota  Servicio. (Participación Ciud adana)",17.13
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Suministro Agua BOT20L., Cuota  Servicio. Concejalía Juventud .",17.13
Productos alimenticios,920,22105,2013-10-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Suministro Agua BOT20L., Cuota  Servicio. Obras e Infraestruc turas.",17.13
Repar. conserv. y man. elementos de transporte,132,21400,2013-10-18,B38337002,"ELECTRO ZAFIRO, S.L.",Colocacion Bateria Motocicleta  Honda 9686-DVL-Policia Local.,89.88
Repar. conserv. y man. elementos de transporte,132,21400,2013-10-18,B38337002,"ELECTRO ZAFIRO, S.L.","Colocacion Bateria, Motociclet a Honda 9150-FZW, Policia loca l.",89.88
Material Convenios Fomento Empleo,241,22612,2013-10-19,B38729448,"FERRETERIA TAPIA E HIJOS, S.L.",Guantes de Seguridad T-10-Prog rama Extraordinario de Empleo Arona 2013,120
Actividades Culturales y Deportivas,339,22609,2013-10-21,B38825733,"GUAJARA AVENTURA, S.L.N.E.","Torre de Aventura con Escalada  y Tirolina. Cultura Joven, el  19/10/2013. Concejalía de Juv entud.",1819
Energía eléctrica,340,22100,2013-10-21,A81948077,ENDESA ENERGIA S.A.U.,"Consumo Septiembre 2013, Cod.A grupacion 1035451. (Av.Arquite cto Gomez Cuesta)",5903.5
Servicio Mantenimiento Jardines Municipales,171,22741,2013-10-21,U76535509,UTE ZONAS VERDES ARONA,Trabajos de Poda y Tratamiento s Fitosanitarios de las Palmer as del Pabellón Municipal de L os Cristianos.,8645.57
Estudios y Trabajos Técnicos,920,22706,2013-10-22,B78016375,PRICE WATERHOUSE COOPERS ASESORES DE NEGOCIOS S.L.,"2ºAnticipo de Honorarios ""Elab oracion y Presentacion Plan Op timizacion de Ingresos y Deduc , Exp 1/12-CSPSV",9095
Postales,920,22201,2013-10-22,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 22/10 /13 ,Rentas 514",15.64
Postales,920,22201,2013-10-22,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 22/10 /13, Rentas 518",80.27
Postales,920,22201,2013-10-22,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 22/10 /2013, Rentas 519",14.97
Productos alimenticios,920,22105,2013-10-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Suministro Agua BOT20L., Cuota  de Servicio. SAC Las Galletas .",31.02
Plan de Promoción Económica,433,22614,2013-10-25,B38534392,TINTORERIA LOS PRINCIPES S.L.,Limpiezas de Carpas de Conceja lia Promocion Ec,30
Postales,920,22201,2013-10-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 25/10 /13, Catastro Notf 901",20.21
Postales,920,22201,2013-10-25,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 25/10 /13, Multas 520",48.76
Estudios y Trabajos Técnicos,920,22706,2013-10-28,A81608077,T-SYSTEMS ITC IBERIA S.A.,Servicios Asistencia Técnica p ara Aplicación Informatica GIS  destinado a gestionar Interna mente y Publicar el PGOU Munic,44220.96
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-10-28,A58417346,WOLTERS KLUWER ESPAÑA S.A.,Estatuto Trabajadores Comentad o 3ªEdic. RRHH XXX.,123.32
Repar. mant. y cons. Mobiliario,130,21500,2013-10-28,B78268372,HAWORTH ESPAÑA S.L.,Adquisición de 6 Sillas para l as Dependencias Municipales de  la Policía Local. Expte. 4/20 13-CNT-CCSU.,1673.82
Repar. mant. y cons. Equipos para procesos informa,920,21600,2013-10-29,B38581393,TECNISUR COPIADORAS S.L.,"Reparacion Copiadora Konica Mi nolta Bizhub c451, Personal",160.5
Becas de Transporte,323,48001,2013-10-30,A28502144,TRANSPORTES INTERURBANOS DE TENERIFE S.A.,"Adquisicion Bonos TITSA, Expte  1/2012-CSPSU",79500
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-10-30,B38075115,VIAJES SOLYSUR S.L.,"Billete Avión TFS-LGW-TFS (3-7  NOV) XXX, F eria World Travel Market de L  ondres.",737.27
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-10-30,B38075115,VIAJES SOLYSUR S.L.,"Billete TFS-LGW-TFS (03-07NOV)  XXX ""Feria Word T ravel Market""",737.27
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-10-30,B38075115,VIAJES SOLYSUR S.L.,"Billete TFS-LGW-TFS (3-7 NOV) XXX, Feria de  Word Travel Market",737.27
Repar. conserv. y man. elementos de transporte,132,21400,2013-10-30,B38337002,"ELECTRO ZAFIRO, S.L.",FAE interruptor de Luces y de Conexión Vehículo E6178BCX.,158.25
Aguas depuradas para riego,161,22114,2013-10-31,Q3800517I,BALTEN BALSAS DE TENERIFE,Consumo Agua Depurada 5º Bimes tre 2013 Finca: Ctra. Las Rosa s.,14.82
Aguas depuradas para riego,161,22114,2013-10-31,Q3800517I,BALTEN BALSAS DE TENERIFE,Consumo Agua Depurada 5º Bimes tre 2013 Finca: El Mojon.,13559.62
Aguas depuradas para riego,161,22114,2013-10-31,Q3800517I,BALTEN BALSAS DE TENERIFE,Consumo Agua Depurada 5º Bimes tre 2013 Finca: Enlace de Guaz a.,215.22
Aguas depuradas para riego,161,22114,2013-10-31,Q3800517I,BALTEN BALSAS DE TENERIFE,Consumo Agua Depurada 5º Bimes tre 2013 Finca: Guargacho Bajo .,17.38
Aguas depuradas para riego,161,22114,2013-10-31,Q3800517I,BALTEN BALSAS DE TENERIFE,Consumo Agua Depurada 5º Bimes tre 2013 Finca: Palm Mar.,428.9
Combustibles y carburantes,150,22103,2013-10-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Octubre 2013 Vehícu los Alcaldía.,415.62
Combustibles y carburantes,150,22103,2013-10-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Octubre 2013 Vehícu los Mantenimiento.,1052.08
Combustibles y carburantes,150,22103,2013-10-31,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2013 Veh?cu los.,1473.78
Combustibles y carburantes,912,22103,2013-10-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Octubre 2013 Vehícu los Alcaldía.,415.62
Combustibles y carburantes,912,22103,2013-10-31,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2013 Veh?cu los.,1473.78
Combustibles y carburantes,920,22103,2013-10-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Octubre 2013 Vehícu los Alcaldía.,415.62
Combustibles y carburantes,920,22103,2013-10-31,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2013 Veh?cu los.,1473.78
Combustibles y carburantes.,130,22103,2013-10-31,A38047684,ESTACION SURAMERICAS S.A.,"Combustible Octubre 13, Polici a Local",2457.17
Combustibles y carburantes.,130,22103,2013-10-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Octubre 2013 Vehícu los Policía Local.,312.23
Combustibles y carburantes.,130,22103,2013-10-31,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2013 Veh?cu los.,1473.78
Combustibles y carburantes.,130,22103,2013-10-31,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre Vehículos P olicia Municipal.,559.64
Combustibles y carburantes.,130,22103,2013-10-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Combustible Octubre 2013-Vehic ulos Policia Local,1318.23
Equipos para Proceso de Información,920,62600,2013-10-31,A28017895,EL CORTES INGLES S.A.,Suministro e Instalación Graba dor USB para Salón de Plenos.,408.4
Estudios y Trabajos Técnicos,920,22706,2013-10-31,A82743287,A.C. CAMERFIRMA S.A.,CE-Servidor Seguro OV  Y OV Mu ltid. 3 años.,1775
Estudios y Trabajos Técnicos,920,22706,2013-10-31,B35736503,"GESTION Y CUSTODIA DE LA INFORMACION CANARIAS, S.L.U.","Servicio Contratacion Servicio  Custodia de Archivos del Ayto  Arona, EXPTE. 11/2013-CNT-CMS V.",5547.95
Fiestas del Municipio,338,22611,2013-10-31,A38022182,RADIO CLUB DE CANARIAS S.A.,"Cuñas del 4/10/13, en dial 88. 9FM, Evento Musical de las Fie stas del Cristo, Arona 2013.",1070
Fiestas del Municipio,338,22611,2013-10-31,A38022182,RADIO CLUB DE CANARIAS S.A.,"Cuñas en 40 Princ,Dial ts,Radi o Club- Fiestas del Cristo 201 3.",671.69
Limpieza y Aseo,920,22700,2013-10-31,B35745926,RALONS SERVICIOS S.L.,Servicio Octubre 2013 Limpieza  Centros Educativos y Dependen cias Municipales.,135171
Limpieza y Aseo,920,22700,2013-10-31,B35745926,RALONS SERVICIOS S.L.,Servicio Octubre 2013 Limpieza  Sala Anexa al C.C. Cabo Blanc o.,258.94
Mantenimiento Integral del Litoral,173,22730,2013-10-31,U76534924,UTE LITORAL ARONA,"Servicio Octubre 2013 Gestión del Litoral, Expte 2/10-Casp",27660.02
Material Convenios Fomento Empleo,241,22612,2013-10-31,B38621850,FERRETERIA HERMALAY S.L.,"Suministro Material de Ferrete ria-Convenio Arona Limpia 2013 , Promoc.Ec",7145.86
Ordinario no inventariable,920,22000,2013-10-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Material Oficina Octubre 2013.,920.43
Ordinario no inventariable,920,22000,2013-10-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Material Oficina Octubre 2013.,952.98
Postales,920,22201,2013-10-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Servicio Octubre 2013  Franque o Pagado Cartas.,113737.64
Postales,920,22201,2013-10-31,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia el 31 /10/2013,Plusvalia 513",25.42
Productos alimenticios,920,22105,2013-10-31,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","cuotas Servicio Agua. Plusvali a,Archivo,Urbanismo,Informatic a,att.ciudadana.",48.15
Publicidad y Propaganda,920,22602,2013-10-31,A38011623,CANARIA DE AVISOS S.A.,"Especial Motor de la Reactivac ion Sur Aytos, Domingo 20/10/1 3",1605
Publicidad y Propaganda,920,22602,2013-10-31,A38011623,CANARIA DE AVISOS S.A.,"Publicacion en Diario Avisos e l dia 24/10/13, pag 11, Anunci o Deposito Municipal Vehiculos  en Playa de las Americas",674.1
Publicidad y Propaganda,920,22602,2013-10-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Publicacion en el dia el 9/10/ 13, pag12""Rehabilitacion de Vi viendas""",288.9
Seguros,221,16205,2013-10-31,A58333261,VIDA CAIXA,Póliza Seguro Vida Colectivos Periodo 01/06/2013-31/05/2014,5129.84
Servicio de Atención Telefónica,925,22720,2013-10-31,B62916077,KONECTA BTO S.L.,Servicio Octubre 2013 Atención  Telefónica 010 y 092.,39713.55
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2013-10-31,A28010478,IMESAPI S.A.,"Certificación Octubre 2013, Ma ntenimiento Inst Elec en Espac ios Publicos y Dependencias Ad ministrativas y Locales.",198950.99
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2013-10-31,A28010478,IMESAPI S.A.,"Certificación Octubre 2013, Ma ntenimiento Inst Elec en Espac ios Publicos y Dependencias Ad ministrativas y Locales.",198950.99
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2013-10-31,A28010478,IMESAPI S.A.,"Certificación Octubre 2013, Ma ntenimiento Inst Elec en Espac ios Publicos y Dependencias Ad ministrativas y Locales.",198950.99
Servicio Mantenimiento Alumbrado Público,165,22712,2013-10-31,A28010478,IMESAPI S.A.,"Certificación Octubre 2013, Ma ntenimiento Inst Elec en Espac ios Publicos y Dependencias Ad ministrativas y Locales.",198950.99
Servicio Recogida de Papel Cartón,162,22710,2013-10-31,U38732830,UTE CLUSA-MCCSA,"Servicio Julio 2013, Recogida ,Transporte de los Residuos de  Papel y Cartón del Municipio Arona.",18595.4
Servicio Recogida de Papel Cartón,162,22710,2013-10-31,U38732830,UTE CLUSA-MCCSA,"Servicio Octubre 2013, Recogid a, Transporte de los Residuos de Papel y Cartón de Arona.",18816.46
Servicio Recogida RSU y Lim. Viaria,162,22709,2013-10-31,U76525534,UTE ARONA,Servicio Octubre 2013 Gestión de Residuos Sólidos Urbanos.,502111.38
Servicio Recogida RSU y Lim. Viaria,162,22709,2013-10-31,U76525534,UTE ARONA,Servicio Octubre 2013 Limpieza  Viaria.,517825.31
Arrendamientos de Material de Transporte,132,20400,2013-11-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Servicio Noviembre 2013, Alqui ler 13 Vehiculos de la Policia  Local",11492.78
Asistencia Médico-Farmacéutica,221,16008,2013-11-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Póliza Seguro salud Noviembre 2013, UNA VEZ DESCONTADO 10.27 5 APORTACION TRABAJADORES.",16926.25
"Prensa, revistas, libros y otros",912,22001,2013-11-01,A38011623,CANARIA DE AVISOS S.A.,"Suscripción Prensa Noviembre 2 013-Abril 2014, Alcaldía.",227.7
"Prensa, revistas, libros y otros",931,22001,2013-11-01,A35577873,TRIBUTOS LOCALES,Suscripcion Revista Tributos L ocales Noviembre 2013 a Octubr e 2014-Intervención,365.39
Actividades Culturales y Deportivas,339,22609,2013-11-04,B38092151,TROPICAL BUS S.L.,"Servicio Transporte El Fraile-  C.C. Cabo Blanco/ Regreso.  ""El Bosque Encantado 2013""Juv entud",175.1
"Desinfectantes, raticidas",313,22115,2013-11-04,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Desratización y Desin sectación Noviembre 2013.,3852
Recogida y acogida de animales.,313,22704,2013-11-04,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"Acogida, Mantenimiento y Estan cia de Perros Abandonados. Oct ubre 2013",5403.57
Energía eléctrica,920,22100,2013-11-05,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Octubre 2013, Nº A GRUP. 1053331.",3006.24
Gutinado del Solar Municipal C/Duque de la Torre,151,60104,2013-11-05,B38480810,GUNITE TENERIFE S.L.,"Certificación de Gunitado de P aredes Medianeras en Parcela M unicipal de Arona Casco, en C. Duque de la Torre,Ex.5/13-CMO.",36896.03
Informáticas,920,22203,2013-11-05,A58417346,WOLTERS KLUWER ESPAÑA S.A.,El Consultor On-Line Accesos C oncurrentes. Periodo 11-2013 a  10-2014.,2166.18
Productos alimenticios,920,22105,2013-11-05,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Suministro Agua BOT 20l. Cuota  Servicio. Policia Local Los C ristianos.,38.15
Productos alimenticios,920,22105,2013-11-05,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Suministro Agua BOT.20l., Vaso s 500 uds. SAC Los Cristianos.",37.88
Repar. conserv. y man. elementos de transporte,132,21400,2013-11-05,B38233912,SERVICIOS E LEON S.L.,Reparacion Arranque Vehiculo 6 212DWD.,45.21
Seguridad,920,22701,2013-11-05,B76587641,SERVICIOS E INVERSIONES TF S.L.,"Servicios Octubre 2013, Vigila ncia",1464.98
Servicio de mantenimiento de vías y edificios,155,22713,2013-11-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Octubre 2013 Man tenimiento y Conservacion Edif .Mpales y Vias Publicas,7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,320,22713,2013-11-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Octubre 2013 Man tenimiento y Conservacion Edif .Mpales y Vias Publicas,7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2013-11-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Octubre 2013 Man tenimiento y Conservacion Edif .Mpales y Vias Publicas,7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2013-11-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Octubre 2013 Man tenimiento y Conservacion Edif .Mpales y Vias Publicas,7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2013-11-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Octubre 2013 Man tenimiento y Conservacion Edif .Mpales y Vias Publicas,7/09-c asv",194173.79
Estudios y Trabajos Técnicos,920,22706,2013-11-06,B35206606,"INSFORCAN, S.L.","Servicio de Digitalización  de  Documentos del Archivo Munici pal, Expte nº 8/2013-CNT-CMSV.",1310.75
Postales,920,22201,2013-11-06,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 06/11 /13, Multas 526",58.24
Postales,920,22201,2013-11-06,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 06/11 /13, Plusvalia 525",16.44
